lat,lng,name,color,note
47.389226,8.482644,Zuerich Bachmattstrasse,,528
47.369628,8.538333,Zuerich Paradeplatz,,464
47.37584,8.537164,Zuerich Löwenplatz,,439
47.376032,8.533937,Zuerich Sihlpost / HB,,436
47.377351,8.538997,Zuerich Bahnhofplatz/HB,,431
47.376804,8.543541,Zuerich Central,,423
47.372998,8.547287,Zuerich Neumarkt,,413
47.370783,8.548606,Zuerich Kunsthaus,,404
47.369289,8.555262,Zuerich Hottingerplatz,,323
47.366504,8.557666,Zuerich Englischviertelstrasse,,279
47.368125,8.560242,Zuerich Römerhof,,270
47.364783,8.554241,Zuerich Kreuzplatz,,269
47.355101,8.557004,Zuerich Fröhlichstrasse,,66
47.357825,8.554345,Zuerich Höschgasse,,47
47.374207,8.525279,Zuerich Bezirksgebäude,,34
47.353376,8.558699,Zuerich Wildbachstrasse,,28
47.387938,8.485811,Zuerich Lindenplatz,,27
47.374659,8.520793,Zuerich Kalkbreite/Bhf.Wiedikon,,27
47.385258,8.494672,Zuerich Kappeli,,25
47.391377,8.478527,Zuerich Farbhof,,24
