lat,long,name,delay
47.374659,8.520793,Zuerich Kalkbreite/Bhf.Wiedikon,-3
47.375541,8.517236,Zuerich Lochergut,-9
47.376841,8.513689,Zuerich Zypressenstrasse,-17
47.378388,8.510096,Zuerich Albisriederplatz,-19
47.381336,8.50352,Zuerich Letzigrund,-21
47.383281,8.499414,Zuerich Freihofstrasse,-24
47.385258,8.494672,Zuerich Kappeli,-16
47.387075,8.489728,Zuerich Grimselstrasse,-20
47.387938,8.485811,Zuerich Lindenplatz,-21
47.389226,8.482644,Zuerich Bachmattstrasse,-24
47.391377,8.478527,Zuerich Farbhof,-26
47.393133,8.474336,Zuerich Micafil,-24
47.396117,8.466472,Schlieren Muelligen,-22
47.397803,8.45996,Schlieren Gasometerbruecke,-20
47.398558,8.453973,Schlieren Wagonsfabrik,-18
47.397915,8.448265,Schlieren Zentrum/Bahnhof,-19
47.374659,8.520793,ZuerichKalkbreite/Bhf.Wiedikon,6
47.375541,8.517236,Zuerich Lochergut,-11
47.376841,8.513689,Zuerich Zypressenstrasse,-12
47.378388,8.510096,Zuerich Albisriederplatz,28
47.381336,8.50352,Zuerich Letzigrund,20
47.383281,8.499414,Zuerich Freihofstrasse,24
47.385258,8.494672,Zuerich Kappeli,34
47.387075,8.489728,Zuerich Grimselstrasse,33
47.387938,8.485811,Zuerich Lindenplatz,29
47.389226,8.482644,Zuerich Bachmattstrasse,20
47.391377,8.478527,Zuerich Farbhof,14
47.393133,8.474336,Zuerich Micafil,14
47.396117,8.466472,Schlieren Muelligen,9
47.397803,8.45996,Schlieren Gasometerbruecke,11
47.398558,8.453973,Schlieren Wagonsfabrik,9
47.397915,8.448265,Schlieren Zentrum/Bahnhof,18
47.374659,8.520793,ZuerichKalkbreite/Bhf.Wiedikon,42
47.375541,8.517236,Zuerich Lochergut,59
47.376841,8.513689,Zuerich Zypressenstrasse,47
47.378388,8.510096,Zuerich Albisriederplatz,44
47.381336,8.50352,Zuerich Letzigrund,25
47.383281,8.499414,Zuerich Freihofstrasse,23
47.385258,8.494672,Zuerich Kappeli,21
47.387075,8.489728,Zuerich Grimselstrasse,16
47.387938,8.485811,Zuerich Lindenplatz,6
47.389226,8.482644,Zuerich Bachmattstrasse,-2
47.391377,8.478527,Zuerich Farbhof,-12
47.393133,8.474336,Zuerich Micafil,-11
47.396117,8.466472,Schlieren Muelligen,-26
47.397803,8.45996,Schlieren Gasometerbruecke,-32
47.398558,8.453973,Schlieren Wagonsfabrik,-41
47.397915,8.448265,Schlieren Zentrum/Bahnhof,-44
